Method,rs,M/N,Percentage of Virtuals Required,Active Spin Orbitals Required,Target Spin Orbitals,Number of Electrons
composite CCD/dRPA,4,1.3072289156626506,0.11764705882352941,344,434,332
composite CCD/dRPA,4,1.3975903614457832,0.09090909090909091,344,464,332
composite CCD/dRPA,4,1.4337349397590362,0.08333333333333333,344,476,332
composite CCD/dRPA,4,1.5120481927710843,0.07058823529411765,344,502,332
composite CCD/dRPA,4,1.6385542168674698,0.05660377358490566,344,544,332
composite CCD/dRPA,4,1.7108433734939759,0.05084745762711865,344,568,332
composite CCD/dRPA,4,1.7469879518072289,0.04838709677419355,344,580,332
composite CCD/dRPA,4,1.8373493975903614,0.04316546762589928,344,610,332
composite CCD/dRPA,4,1.891566265060241,0.04054054054054054,344,628,332
composite CCD/dRPA,4,1.963855421686747,0.0375,344,652,332
composite CCD/dRPA,4,2.108433734939759,0.03260869565217391,344,700,332
composite CCD/dRPA,4,2.1626506024096384,0.031088082901554404,344,718,332
composite CCD/dRPA,4,2.2710843373493974,0.02843601895734597,344,754,332
composite CCD/dRPA,4,2.3433734939759034,0.026905829596412557,344,778,332
composite CCD/dRPA,4,2.397590361445783,0.02586206896551724,344,796,332
composite CCD/dRPA,4,2.5060240963855422,0.024,344,832,332
composite CCD/dRPA,4,2.5963855421686746,0.022641509433962263,344,862,332
composite CCD/dRPA,4,2.6686746987951806,0.021660649819494584,344,886,332
composite CCD/dRPA,4,2.746987951807229,0.020689655172413793,344,912,332
composite CCD/dRPA,4,2.891566265060241,0.01910828025477707,344,960,332
composite CCD/dRPA,4,2.9457831325301207,0.018575851393188854,344,978,332
composite CCD/dRPA,4,3.036144578313253,0.01775147928994083,344,1008,332
composite CCD/dRPA,4,3.180722891566265,0.016574585635359115,344,1056,332
composite CCD/dRPA,4,3.216867469879518,0.016304347826086956,344,1068,332
composite CCD/dRPA,4,3.325301204819277,0.015544041450777202,344,1104,332
composite CCD/dRPA,4,3.4879518072289155,0.014527845036319613,344,1158,332
composite CCD/dRPA,4,3.5240963855421685,0.014319809069212411,344,1170,332
composite CCD/dRPA,4,3.5963855421686746,0.013921113689095127,344,1194,332
composite CCD/dRPA,4,3.6867469879518073,0.013452914798206279,344,1224,332
composite CCD/dRPA,4,3.7951807228915664,0.01293103448275862,344,1260,332
composite CCD/dRPA,4,3.9397590361445785,0.012295081967213115,344,1308,332
composite CCD/dRPA,4,4.066265060240964,0.011787819253438114,344,1350,332
composite CCD/dRPA,4,4.156626506024097,0.011450381679389313,344,1380,332
composite CCD/dRPA,4,4.228915662650603,0.011194029850746268,344,1404,332
composite CCD/dRPA,4,4.391566265060241,0.010657193605683837,344,1458,332
composite CCD/dRPA,4,4.445783132530121,0.01048951048951049,344,1476,332
composite CCD/dRPA,4,4.524096385542169,0.010256410256410256,344,1502,332
composite CCD/dRPA,4,4.632530120481928,0.009950248756218905,344,1538,332
composite CCD/dRPA,4,4.72289156626506,0.009708737864077669,344,1568,332
composite CCD/dRPA,1,1.036144578313253,1.0,344,344,332
composite CCD/dRPA,1,1.108433734939759,0.3333333333333333,344,368,332
composite CCD/dRPA,1,1.180722891566265,0.2,344,392,332
composite CCD/dRPA,1,1.2349397590361446,0.15384615384615385,344,410,332
composite CCD/dRPA,1,1.3072289156626506,0.11764705882352941,344,434,332
composite CCD/dRPA,1,1.3975903614457832,0.09090909090909091,344,464,332
composite CCD/dRPA,1,1.4337349397590362,0.08333333333333333,344,476,332
composite CCD/dRPA,1,1.5120481927710843,0.07058823529411765,344,502,332
composite CCD/dRPA,1,1.6385542168674698,0.05660377358490566,344,544,332
composite CCD/dRPA,1,1.7108433734939759,0.05084745762711865,344,568,332
composite CCD/dRPA,1,1.7469879518072289,0.04838709677419355,344,580,332
composite CCD/dRPA,1,1.8373493975903614,0.04316546762589928,344,610,332
composite CCD/dRPA,1,1.891566265060241,0.04054054054054054,344,628,332
composite CCD/dRPA,1,1.963855421686747,0.0375,344,652,332
composite CCD/dRPA,1,2.108433734939759,0.03260869565217391,344,700,332
composite CCD/dRPA,1,2.1626506024096384,0.031088082901554404,344,718,332
composite CCD/dRPA,1,2.2710843373493974,0.02843601895734597,344,754,332
composite CCD/dRPA,1,2.3433734939759034,0.026905829596412557,344,778,332
composite CCD/dRPA,1,2.397590361445783,0.02586206896551724,344,796,332
composite CCD/dRPA,1,2.5060240963855422,0.024,344,832,332
composite CCD/dRPA,1,2.5963855421686746,0.022641509433962263,344,862,332
composite CCD/dRPA,1,2.6686746987951806,0.021660649819494584,344,886,332
composite CCD/dRPA,1,2.746987951807229,0.020689655172413793,344,912,332
composite CCD/dRPA,1,2.891566265060241,0.01910828025477707,344,960,332
composite CCD/dRPA,1,2.9457831325301207,0.018575851393188854,344,978,332
composite CCD/dRPA,1,3.036144578313253,0.01775147928994083,344,1008,332
composite CCD/dRPA,1,3.180722891566265,0.016574585635359115,344,1056,332
composite CCD/dRPA,1,3.216867469879518,0.016304347826086956,344,1068,332
composite CCD/dRPA,1,3.325301204819277,0.015544041450777202,344,1104,332
composite CCD/dRPA,1,3.4879518072289155,0.5108958837772397,754,1158,332
composite CCD/dRPA,1,3.5240963855421685,0.5035799522673031,754,1170,332
composite CCD/dRPA,1,3.5963855421686746,0.5382830626450116,796,1194,332
composite CCD/dRPA,1,3.6867469879518073,0.5605381165919282,832,1224,332
composite CCD/dRPA,1,3.7951807228915664,0.5969827586206896,886,1260,332
composite CCD/dRPA,1,3.9397590361445785,0.6434426229508197,960,1308,332
composite CCD/dRPA,1,4.066265060240964,0.6345776031434185,978,1350,332
composite CCD/dRPA,1,4.156626506024097,0.6450381679389313,1008,1380,332
composite CCD/dRPA,1,4.228915662650603,0.6753731343283582,1056,1404,332
composite CCD/dRPA,1,4.391566265060241,0.6856127886323268,1104,1458,332
composite CCD/dRPA,1,4.445783132530121,0.6748251748251748,1104,1476,332
composite CCD/dRPA,1,4.524096385542169,0.705982905982906,1158,1502,332
composite CCD/dRPA,1,4.632530120481928,0.6849087893864013,1158,1538,332
composite CCD/dRPA,1,4.72289156626506,0.6779935275080906,1170,1568,332
